n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,feedback_size,n_layers,neighbour_size,NRMSE_mean,NRMSE_std
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0004701757163275,5.15939352019285e-05
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0005498243379406,9.528127744205644e-05
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.00047315043048,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0005042654811404,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0003037485294044,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.000289638187193,6.816750150184753e-06
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,1,78.03363800048828,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,1,202.54071044921875,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,3,1,2795.69384765625,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0002900558465626,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0002462494303472,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,1,0,0.0010476388270035,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,0,0.0002713801804929,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,1,217.6781768798828,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,1,82.05850219726562,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,64,2,1,20.67539405822754,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,0,2,1,2524.368408203125,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,0,2,1,791.3330688476562,0.0
1024,0.8,0.9,0.1,0.05,1,,,200,0,2,0,0.0007577107753604,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.639041006565094,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,1.5180357694625854,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.0020727894734591,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,0.1310874223709106,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,66.42451477050781,0.0
256,0.8,0.9,0.1,0.05,1,,,200,0,2,1,45.03419494628906,0.0
64,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.0258269105106592,0.0
128,0.8,0.9,0.1,0.05,1,,,200,0,1,0,0.0044528888538479,0.0
