n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,n_layers,NRMSE_mean,NRMSE_std
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
256,0.2,0.9,0.1,0.05,1,,,200,1,0.0003654999018181,0.0
512,0.2,0.9,0.1,0.05,1,,,200,1,0.0010384537745267,0.0
256,0.2,0.9,0.5,0.05,1,,,200,1,0.0003922411997336,0.0
256,0.5,0.9,0.5,0.05,1,,,200,1,0.0022611829917877,0.0
256,0.3,0.9,0.5,0.05,1,,,200,1,0.0008469438180327,0.0
256,0.4,0.9,0.5,0.05,1,,,200,1,0.0014116361271589,0.0
256,0.4,0.9,0.5,0.05,1,,,200,1,3.8832974433898926,0.0
256,0.4,0.9,0.5,0.05,1,,,200,1,3.8832974433898926,0.0
4,0.4,0.9,0.5,0.05,1,,,200,1,8.103387832641602,0.0
4,0.4,0.9,0.5,0.05,1,,,200,1,8.103387832641602,0.0
4,0.4,0.9,0.5,0.05,1,,,200,1,8.103387832641602,0.0
4,0.8,0.9,0.5,0.05,1,,,200,1,74.30453491210938,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
4,0.2,0.9,0.5,0.05,1,,,200,1,4.966484546661377,0.0
256,0.2,0.9,0.5,0.05,1,,,200,1,1.5598843097686768,0.0
256,0.2,0.9,0.5,0.05,1,,,200,1,1.5598843097686768,0.0
1024,0.2,0.9,0.5,0.05,1,,,200,1,0.8251888155937195,0.0
256,0.2,0.9,0.5,0.05,1,,,200,1,1.5598843097686768,0.0
256,0.5,0.9,0.5,0.05,1,,,200,1,8.036723136901855,0.0
256,0.5,0.9,0.9,0.05,1,,,200,1,14.895167350769045,0.0
256,0.5,0.9,0.3,0.05,1,,,200,1,8.201094627380371,0.0
256,0.5,0.9,0.1,0.05,1,,,200,1,0.8800094127655029,0.0
256,0.9,0.9,0.1,0.05,1,,,200,1,105.41863250732422,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,1.066116213798523,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.8549935817718506,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.8549935817718506,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.8549935817718506,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,0.1,0.9,0.1,0.05,1,,,200,1,0.854993462562561,0.0
256,1.0,0.9,0.1,0.05,1,,,200,1,240.48011779785156,0.0
256,0.7,0.9,0.1,0.05,1,,,200,1,2.927268743515014,0.0
256,0.7,0.9,0.1,0.05,1,,,200,1,2.927268743515014,0.0
