n_hid,inp_scaling,rho,leaky,regul,lag,bias_scaling,solver,washout,feedback_size,NRMSE_mean,NRMSE_std
512,0.8,1.0,0.1,0.05,1,,,200,0,0.0020478109130635,0.0006109072019752
512,0.8,1.0,0.1,0.05,1,,,200,256,0.0046672865282744,0.0014907833348149
512,0.8,1.0,0.1,0.05,1,,,200,512,0.0056360190734267,0.0014953873846848
512,0.8,1.0,0.1,0.05,1,,,200,64,0.0021584220230579,0.0005938200711127
512,0.8,1.0,0.1,0.05,1,,,200,32,0.0025036429520696,0.0003419962456606
512,0.8,1.0,0.1,0.05,1,,,200,50,0.0019416623748838,0.0003182118443425
512,0.8,1.0,0.1,0.05,1,,,200,45,0.0024200471350923,0.0007096568824048
512,0.8,1.0,0.1,0.05,1,,,200,60,0.0029253585264086,0.0009168040958262
512,0.8,1.0,0.1,0.05,1,,,200,52,0.0015802774578332,0.0001981191897609
512,0.8,1.0,0.1,0.05,1,,,200,53,0.0020496989134699,0.0006804162363218
512,0.8,1.0,0.1,0.05,1,,,200,51,0.0022004277212545,0.0004180114875189
512,0.8,1.0,0.1,0.05,1,,,200,52,0.0026115115499123,0.0015346245753452
512,0.8,1.0,0.1,0.05,1,,,200,52,0.0024416303029283,0.0008988054297274
512,0.8,1.0,0.1,0.05,1,,,200,52,0.0019393632188439,0.0003413017072014
512,0.8,0.9,0.1,0.05,1,,,200,64,0.0015598886879161,0.0003967717332085
512,0.8,0.9,0.1,0.05,1,,,200,64,0.0018144196597859263,0.00044483118254798153
