n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00037, test: 0.00037
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00047, test: 0.00046
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.0007, test: 0.0007
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00043, test: 0.00043
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00036, test: 0.00036
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00056, test: 0.00057
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00053, test: 0.00053
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00037, test: 0.00037
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00047, test: 0.00048
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: svd, valid: 0.00044, test: 0.00043
**************


 ##################################################################### 
Mean NRMSE 0.00047251999740540026,    std 0.00010038873667973612
 ##################################################################### 
n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: None, valid: 0.00034, test: 0.00034
**************


n_hid: 100, cpu: False, inp_scaling: 1.0, rho: 1.0, leaky: 0.9, regul: 1e-06, lag: 1, use_test: True, show_result: False, test_trials: 10, bias_scaling: None, avoid_rescal_effective: True, solver: None, valid: 0.0004, test: 0.00042
**************


